time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-09 00:00:00+00:00,15,7,8.0,1.0
2022-08-10 00:00:00+00:00,29,5,,
2022-08-11 00:00:00+00:00,50,7,,
2022-08-12 00:00:00+00:00,6,5,,
2022-08-13 00:00:00+00:00,6,5,,
2022-08-14 00:00:00+00:00,22,7,2.0,1.0
2022-08-15 00:00:00+00:00,33,4,4.0,3.0
2022-08-16 00:00:00+00:00,10,5,,
2022-08-17 00:00:00+00:00,37,6,,
2022-08-18 00:00:00+00:00,14,5,15.0,3.0
2022-08-19 00:00:00+00:00,3,3,,
2022-08-20 00:00:00+00:00,4,3,,
2022-08-21 00:00:00+00:00,17,5,3.0,2.0
2022-08-22 00:00:00+00:00,19,3,,
