time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-12 00:00:00+00:00,153,118,12.0,1.0
2024-03-13 00:00:00+00:00,37,16,,
2024-03-14 00:00:00+00:00,72,42,1.0,1.0
2024-03-15 00:00:00+00:00,7,5,2.0,2.0
2024-03-16 00:00:00+00:00,25,22,1.0,1.0
2024-03-17 00:00:00+00:00,16,7,,
2024-03-18 00:00:00+00:00,35,9,5.0,4.0
2024-03-19 00:00:00+00:00,15,6,2.0,1.0
2024-03-20 00:00:00+00:00,26,15,3.0,1.0
2024-03-21 00:00:00+00:00,8,7,,
2024-03-22 00:00:00+00:00,5,4,,
2024-03-23 00:00:00+00:00,1,1,,
2024-03-24 00:00:00+00:00,10,5,,
2024-03-25 00:00:00+00:00,19,6,6.0,1.0
