time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-31 00:00:00+00:00,12,7,0,0
2026-01-01 00:00:00+00:00,6,6,1,1
2026-01-02 00:00:00+00:00,14,6,2,2
2026-01-03 00:00:00+00:00,10,6,0,0
2026-01-04 00:00:00+00:00,13,5,1,1
2026-01-05 00:00:00+00:00,5,5,0,0
2026-01-06 00:00:00+00:00,12,5,0,0
2026-01-07 00:00:00+00:00,10,6,1,1
2026-01-08 00:00:00+00:00,10,6,0,0
2026-01-09 00:00:00+00:00,10,5,1,1
2026-01-10 00:00:00+00:00,3,3,0,0
2026-01-11 00:00:00+00:00,16,8,1,1
2026-01-12 00:00:00+00:00,7,7,1,1
2026-01-13 00:00:00+00:00,21,9,0,0
