time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-28 00:00:00+00:00,2,2,1.0,1.0
2025-11-29 00:00:00+00:00,5,5,,
2025-11-30 00:00:00+00:00,3,3,,
2025-12-01 00:00:00+00:00,45,12,9.0,2.0
2025-12-02 00:00:00+00:00,43,11,1.0,1.0
2025-12-03 00:00:00+00:00,109,24,,
2025-12-04 00:00:00+00:00,5,5,5.0,2.0
2025-12-05 00:00:00+00:00,11,11,,
2025-12-06 00:00:00+00:00,14,9,,
2025-12-07 00:00:00+00:00,8,4,,
2025-12-08 00:00:00+00:00,6,6,1.0,1.0
2025-12-09 00:00:00+00:00,16,10,4.0,2.0
2025-12-10 00:00:00+00:00,8,4,2.0,2.0
2025-12-11 00:00:00+00:00,1,1,2.0,2.0
