time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-14 00:00:00+00:00,1.0,1.0,4.0,3.0
2023-07-15 00:00:00+00:00,1.0,1.0,,
2023-07-16 00:00:00+00:00,1.0,1.0,3.0,3.0
2023-07-17 00:00:00+00:00,2.0,2.0,4.0,4.0
2023-07-18 00:00:00+00:00,6.0,5.0,5.0,5.0
2023-07-19 00:00:00+00:00,1.0,1.0,6.0,3.0
2023-07-20 00:00:00+00:00,2.0,2.0,18.0,13.0
2023-07-21 00:00:00+00:00,1.0,1.0,5.0,5.0
2023-07-22 00:00:00+00:00,2.0,2.0,,
2023-07-23 00:00:00+00:00,1.0,1.0,,
2023-07-24 00:00:00+00:00,4.0,3.0,11.0,2.0
2023-07-25 00:00:00+00:00,2.0,2.0,21.0,2.0
2023-07-26 00:00:00+00:00,3.0,2.0,1.0,1.0
2023-07-27 00:00:00+00:00,,,8.0,1.0
