time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-05 00:00:00+00:00,6,6,2.0,1.0
2025-11-06 00:00:00+00:00,7,7,4.0,1.0
2025-11-07 00:00:00+00:00,13,8,,
2025-11-08 00:00:00+00:00,16,10,,
2025-11-09 00:00:00+00:00,10,4,1.0,1.0
2025-11-10 00:00:00+00:00,25,8,,
2025-11-11 00:00:00+00:00,11,5,,
2025-11-12 00:00:00+00:00,4,3,,
2025-11-13 00:00:00+00:00,9,7,2.0,2.0
2025-11-14 00:00:00+00:00,13,7,2.0,2.0
2025-11-15 00:00:00+00:00,5,3,3.0,1.0
2025-11-16 00:00:00+00:00,4,4,,
2025-11-17 00:00:00+00:00,5,5,2.0,2.0
2025-11-18 00:00:00+00:00,3,3,,
