time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-27 00:00:00+00:00,31,12,27.0,1.0
2023-12-28 00:00:00+00:00,16,9,1.0,1.0
2023-12-29 00:00:00+00:00,8,6,,
2023-12-30 00:00:00+00:00,7,6,,
2023-12-31 00:00:00+00:00,61,50,,
2024-01-01 00:00:00+00:00,76,63,,
2024-01-02 00:00:00+00:00,37,11,,
2024-01-03 00:00:00+00:00,34,12,,
2024-01-04 00:00:00+00:00,36,31,1.0,1.0
2024-01-05 00:00:00+00:00,7,7,18.0,2.0
2024-01-06 00:00:00+00:00,34,30,,
2024-01-07 00:00:00+00:00,5,5,,
2024-01-08 00:00:00+00:00,10,6,,
2024-01-09 00:00:00+00:00,136,124,5.0,3.0
