time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-29 00:00:00+00:00,310,256,,
2023-11-30 00:00:00+00:00,25,10,16.0,6.0
2023-12-01 00:00:00+00:00,71,63,1.0,1.0
2023-12-02 00:00:00+00:00,3,2,1.0,1.0
2023-12-03 00:00:00+00:00,3,3,,
2023-12-04 00:00:00+00:00,214,175,27.0,5.0
2023-12-05 00:00:00+00:00,164,143,11.0,2.0
2023-12-06 00:00:00+00:00,136,107,19.0,3.0
2023-12-07 00:00:00+00:00,120,99,5.0,2.0
2023-12-08 00:00:00+00:00,28,12,,
2023-12-09 00:00:00+00:00,6,4,,
2023-12-10 00:00:00+00:00,32,10,,
2023-12-11 00:00:00+00:00,415,290,2.0,1.0
2023-12-12 00:00:00+00:00,106,66,1.0,1.0
