time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-26 00:00:00+00:00,18,9,0,0
2026-01-27 00:00:00+00:00,16,7,6,3
2026-01-28 00:00:00+00:00,21,12,1,1
2026-01-29 00:00:00+00:00,11,6,3,3
2026-01-30 00:00:00+00:00,16,7,18,4
2026-01-31 00:00:00+00:00,20,11,13,2
2026-02-01 00:00:00+00:00,16,11,0,0
2026-02-02 00:00:00+00:00,8,7,4,2
2026-02-03 00:00:00+00:00,22,9,0,0
2026-02-04 00:00:00+00:00,31,8,5,4
2026-02-05 00:00:00+00:00,10,9,2,2
2026-02-06 00:00:00+00:00,5,4,0,0
2026-02-07 00:00:00+00:00,10,5,1,1
2026-02-08 00:00:00+00:00,16,11,0,0
