time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-09 00:00:00+00:00,6,6,1.0,1.0
2025-07-10 00:00:00+00:00,9,9,1.0,1.0
2025-07-11 00:00:00+00:00,6,6,1.0,1.0
2025-07-12 00:00:00+00:00,4,4,1.0,1.0
2025-07-13 00:00:00+00:00,5,5,1.0,1.0
2025-07-14 00:00:00+00:00,5,5,1.0,1.0
2025-07-15 00:00:00+00:00,2,2,2.0,2.0
2025-07-16 00:00:00+00:00,5,5,,
2025-07-17 00:00:00+00:00,2,2,,
2025-07-18 00:00:00+00:00,5,5,,
2025-07-19 00:00:00+00:00,1,1,,
2025-07-20 00:00:00+00:00,5,5,,
2025-07-21 00:00:00+00:00,2,2,,
2025-07-22 00:00:00+00:00,2,2,1.0,1.0
