time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-07 00:00:00+00:00,5,3,7.0,2.0
2023-03-08 00:00:00+00:00,5,3,4.0,3.0
2023-03-09 00:00:00+00:00,2,2,19.0,4.0
2023-03-10 00:00:00+00:00,1,1,10.0,2.0
2023-03-11 00:00:00+00:00,2,2,1.0,1.0
2023-03-12 00:00:00+00:00,2,2,3.0,2.0
2023-03-13 00:00:00+00:00,3,3,,
2023-03-14 00:00:00+00:00,2,2,5.0,2.0
2023-03-15 00:00:00+00:00,3,2,6.0,5.0
2023-03-16 00:00:00+00:00,2,2,1.0,1.0
2023-03-17 00:00:00+00:00,1,1,2.0,1.0
2023-03-18 00:00:00+00:00,1,1,,
2023-03-19 00:00:00+00:00,2,2,,
2023-03-20 00:00:00+00:00,5,4,1.0,1.0
