time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-01 00:00:00+00:00,23,10,0,0
2026-07-02 00:00:00+00:00,22,11,0,0
2026-07-03 00:00:00+00:00,18,8,0,0
2026-07-04 00:00:00+00:00,35,14,3,1
2026-07-05 00:00:00+00:00,15,6,0,0
2026-07-06 00:00:00+00:00,14,5,0,0
2026-07-07 00:00:00+00:00,24,9,0,0
2026-07-08 00:00:00+00:00,19,10,0,0
2026-07-09 00:00:00+00:00,15,6,0,0
2026-07-10 00:00:00+00:00,27,13,0,0
2026-07-11 00:00:00+00:00,15,9,0,0
2026-07-12 00:00:00+00:00,18,7,0,0
2026-07-13 00:00:00+00:00,15,5,0,0
2026-07-14 00:00:00+00:00,23,9,0,0
