time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-27 00:00:00+00:00,1.0,1.0,,
2024-07-28 00:00:00+00:00,2.0,1.0,,
2024-07-29 00:00:00+00:00,3.0,1.0,1.0,1.0
2024-07-30 00:00:00+00:00,1.0,1.0,3.0,1.0
2024-08-01 00:00:00+00:00,2.0,1.0,2.0,1.0
2024-08-02 00:00:00+00:00,,,2.0,2.0
2024-08-03 00:00:00+00:00,1.0,1.0,,
2024-08-05 00:00:00+00:00,6.0,4.0,,
2024-08-06 00:00:00+00:00,3.0,2.0,2.0,2.0
2024-08-07 00:00:00+00:00,,,4.0,4.0
2024-08-08 00:00:00+00:00,,,3.0,1.0
2024-08-09 00:00:00+00:00,,,3.0,2.0
