time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-04 00:00:00+00:00,2.0,2.0,4.0,2.0
2023-09-05 00:00:00+00:00,2.0,2.0,1.0,1.0
2023-09-06 00:00:00+00:00,3.0,3.0,,
2023-09-07 00:00:00+00:00,5.0,5.0,6.0,4.0
2023-09-08 00:00:00+00:00,3.0,3.0,12.0,2.0
2023-09-09 00:00:00+00:00,1.0,1.0,,
2023-09-10 00:00:00+00:00,2.0,2.0,,
2023-09-11 00:00:00+00:00,2.0,2.0,9.0,2.0
2023-09-12 00:00:00+00:00,2.0,2.0,37.0,7.0
2023-09-13 00:00:00+00:00,7.0,4.0,2.0,1.0
2023-09-14 00:00:00+00:00,78.0,3.0,,
2023-09-15 00:00:00+00:00,35.0,2.0,7.0,1.0
2023-09-16 00:00:00+00:00,5.0,3.0,1.0,1.0
2023-09-17 00:00:00+00:00,,,1.0,1.0
