time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-13 00:00:00+00:00,1.0,1.0,,
2023-04-14 00:00:00+00:00,1.0,1.0,9.0,2.0
2023-04-15 00:00:00+00:00,1.0,1.0,,
2023-04-16 00:00:00+00:00,1.0,1.0,5.0,2.0
2023-04-17 00:00:00+00:00,3.0,3.0,1.0,1.0
2023-04-18 00:00:00+00:00,1.0,1.0,7.0,3.0
2023-04-19 00:00:00+00:00,3.0,3.0,1.0,1.0
2023-04-20 00:00:00+00:00,1.0,1.0,22.0,2.0
2023-04-21 00:00:00+00:00,5.0,3.0,,
2023-04-22 00:00:00+00:00,1.0,1.0,,
2023-04-23 00:00:00+00:00,3.0,2.0,,
2023-04-24 00:00:00+00:00,15.0,4.0,4.0,3.0
2023-04-25 00:00:00+00:00,1.0,1.0,2.0,1.0
2023-04-26 00:00:00+00:00,,,2.0,2.0
